id,network,station,channel,latitude,longitude,unit,component,response
CI.CCC..HN,CI,CCC,HN,35.525,-117.365,m/s**2,"E,N,Z","213979.00,214322.00,213808.00"
CI.CLC..HN,CI,CLC,HN,35.816,-117.598,m/s**2,"E,N,Z","213945.00,213808.00,213740.00"
CI.DAW..HN,CI,DAW,HN,36.271,-117.592,m/s**2,"E,N,Z","213512.00,213897.00,214625.00"
CI.DAW.2C.HN,CI,DAW,HN,36.271,-117.592,m/s**2,"E,N,Z","213349.00,213734.00,214461.00"
CI.JRC2..HN,CI,JRC2,HN,35.982,-117.809,m/s**2,"E,N,Z","213808.00,213945.00,214185.00"
CI.LRL..HN,CI,LRL,HN,35.48,-117.682,m/s**2,"E,N,Z","213757.00,213671.00,213201.00"
CI.LRL.2C.HN,CI,LRL,HN,35.48,-117.682,m/s**2,"E,N,Z","213757.00,213671.00,213201.00"
CI.MPM..HN,CI,MPM,HN,36.058,-117.489,m/s**2,"E,N,Z","213911.00,214219.00,213911.00"
CI.SLA..HN,CI,SLA,HN,35.891,-117.283,m/s**2,"E,N,Z","214253.00,213671.00,213979.00"
CI.SRT..HN,CI,SRT,HN,35.692,-117.751,m/s**2,"E,N,Z","214301.00,213873.00,214087.00"
CI.TOW2..HN,CI,TOW2,HN,35.809,-117.765,m/s**2,"E,N,Z","213800.00,214142.00,214356.00"
CI.WBM..HN,CI,WBM,HN,35.608,-117.89,m/s**2,"E,N,Z","213550.00,214064.00,213550.00"
CI.WBM.2C.HN,CI,WBM,HN,35.608,-117.89,m/s**2,"E,N,Z","213550.00,214064.00,213550.00"
CI.WCS2..HN,CI,WCS2,HN,36.025,-117.765,m/s**2,"E,N,Z","213757.00,213329.00,213415.00"
CI.WMF..HN,CI,WMF,HN,36.118,-117.855,m/s**2,"E,N,Z","214087.00,214087.00,214087.00"
CI.WMF.2C.HN,CI,WMF,HN,36.118,-117.855,m/s**2,"E,N,Z","213952.00,213952.00,213952.00"
CI.WNM..HN,CI,WNM,HN,35.842,-117.906,m/s**2,"E,N,Z","214054.00,213926.00,214054.00"
CI.WNM.2C.HN,CI,WNM,HN,35.842,-117.906,m/s**2,"E,N,Z","214048.00,213920.00,214048.00"
CI.WRC2..HN,CI,WRC2,HN,35.948,-117.65,m/s**2,"E,N,Z","214227.00,213970.00,214056.00"
CI.WRV2..HN,CI,WRV2,HN,36.008,-117.89,m/s**2,"E,N,Z","213883.00,235224.00,235139.00"
CI.WRV2.2C.HN,CI,WRV2,HN,36.008,-117.89,m/s**2,"E,N,Z","213877.00,235218.00,235132.00"
CI.WVP2..HN,CI,WVP2,HN,35.949,-117.818,m/s**2,"E,N,Z","213764.00,213550.00,213721.00"
CI.WVP2.2C.HN,CI,WVP2,HN,35.949,-117.818,m/s**2,"E,N,Z","213782.00,213569.00,213740.00"
CI.DTP..HN,CI,DTP,HN,35.267,-117.846,m/s**2,"E,N,Z","214399.00,213971.00,214484.00"
CI.CCC..HH,CI,CCC,HH,35.525,-117.365,m/s,"E,N,Z","627368000.00,627368000.00,627368000.00"
CI.CLC..HH,CI,CLC,HH,35.816,-117.598,m/s,"E,N,Z","627368000.00,627368000.00,627368000.00"
CI.DAW..HH,CI,DAW,HH,36.271,-117.592,m/s,"E,N,Z","314768000.00,314768000.00,314768000.00"
CI.JRC2..HH,CI,JRC2,HH,35.982,-117.809,m/s,"E,N,Z","784866000.00,784866000.00,790478000.00"
CI.LRL..HH,CI,LRL,HH,35.48,-117.682,m/s,"E,N,Z","628306000.00,629984000.00,627467000.00"
CI.MPM..HH,CI,MPM,HH,36.058,-117.489,m/s,"E,N,Z","627368000.00,627368000.00,627368000.00"
CI.SLA..HH,CI,SLA,HH,35.891,-117.283,m/s,"E,N,Z","622338000.00,618992000.00,616482000.00"
CI.SRT..HH,CI,SRT,HH,35.692,-117.751,m/s,"E,N,Z","629865000.00,629865000.00,629865000.00"
CI.TOW2..HH,CI,TOW2,HH,35.809,-117.765,m/s,"E,N,Z","626911000.00,626911000.00,626839000.00"
CI.WBM..HH,CI,WBM,HH,35.608,-117.89,m/s,"E,N,Z","314573000.00,314573000.00,314573000.00"
CI.WCS2..HH,CI,WCS2,HH,36.025,-117.765,m/s,"E,N,Z","626910000.00,626910000.00,626838000.00"
CI.WMF..HH,CI,WMF,HH,36.118,-117.855,m/s,"E,N,Z","626506000.00,628185000.00,626506000.00"
CI.WRC2..HH,CI,WRC2,HH,35.948,-117.65,m/s,"E,N,Z","629145000.00,629145000.00,629145000.00"
CI.DTP..HH,CI,DTP,HH,35.267,-117.846,m/s,"E,N,Z","627368000.00,627368000.00,627368000.00"
CI.WNM..EH,CI,WNM,EH,35.842,-117.906,m/s,Z,69306200.00
CI.WRV2..EH,CI,WRV2,EH,36.008,-117.89,m/s,Z,71427500.00
CI.WVP2..EH,CI,WVP2,EH,35.949,-117.818,m/s,Z,68041300.00
PB.B916..EH,PB,B916,EH,36.193,-117.668,m/s,"1,2,Z","781398000.00,781398000.00,781398000.00"
PB.B917..EH,PB,B917,EH,35.405,-117.259,m/s,"1,2,Z","781398000.00,781398000.00,781398000.00"
PB.B918..EH,PB,B918,EH,35.936,-117.602,m/s,"1,2,Z","781398000.00,781398000.00,781398000.00"
PB.B921..EH,PB,B921,EH,35.587,-117.462,m/s,"1,2,Z","781398000.00,781398000.00,781398000.00"
